customer_id,churn_proba,churn_label,segment
C100000,0.6724184815003399,1,High
C100001,0.5875059947449401,1,Medium
C100002,0.38395325240321376,0,Medium
C100003,0.5122982949490478,1,Medium
C100004,0.584746293708529,1,Medium
C100005,0.6596797755479076,1,Medium
C100006,0.6608922179160377,1,High
C100007,0.5297296494633127,1,Medium
C100008,0.15517650472162592,0,Low
C100009,0.38126272921523263,0,Medium
C100010,0.7442226018855336,1,High
C100011,0.38362132470939536,0,Medium
C100012,0.6427030368106035,1,Medium
C100013,0.5089200586853714,1,Medium
C100014,0.6283341350655197,1,Medium
C100015,0.19517596012721297,0,Low
C100016,0.6734607297283715,1,High
C100017,0.42096644261086447,0,Medium
C100018,0.6122780121035261,1,Medium
C100019,0.35612751227543377,0,Medium
C100020,0.41830799112602296,0,Medium
C100021,0.261097577652886,0,Low
C100022,0.3368013639161243,0,Medium
C100023,0.6318322787796685,1,Medium
C100024,0.10292493686265598,0,Low
C100025,0.4140870874369269,0,Medium
C100026,0.6087597853082625,1,Medium
C100027,0.44978405671281635,0,Medium
C100028,0.4165562015796572,0,Medium
C100029,0.3883738493936597,0,Medium
C100030,0.42612042396907623,0,Medium
C100031,0.33183983203294304,0,Medium
C100032,0.3550820883441248,0,Medium
C100033,0.6518263850385864,1,Medium
C100034,0.1587613085258434,0,Low
C100035,0.17634731418297706,0,Low
C100036,0.36695338976940317,0,Medium
C100037,0.4932345294418716,0,Medium
C100038,0.46135060095322866,0,Medium
C100039,0.5828188763556531,1,Medium
C100040,0.5390995991843976,1,Medium
C100041,0.8435770695447824,1,High
C100042,0.2261615144348104,0,Low
C100043,0.3133989376624821,0,Low
C100044,0.7654830647408564,1,High
C100045,0.34033333975743996,0,Medium
C100046,0.48709808979947583,0,Medium
C100047,0.5177405443798018,1,Medium
C100048,0.40794285811896985,0,Medium
C100049,0.7925817046042632,1,High
C100050,0.4969332359981752,0,Medium
C100051,0.4765853997622573,0,Medium
C100052,0.4902450792577963,0,Medium
C100053,0.7411432806842656,1,High
C100054,0.4143992563411062,0,Medium
C100055,0.30199836556756077,0,Low
C100056,0.40685056815462683,0,Medium
C100057,0.5590134533147239,1,Medium
C100058,0.12353656867668028,0,Low
C100059,0.6655172716442912,1,High
C100060,0.3598868940496744,0,Medium
C100061,0.4331969200667941,0,Medium
C100062,0.19334395934326384,0,Low
C100063,0.4416327432420979,0,Medium
C100064,0.35464030368184574,0,Medium
C100065,0.39239218710789886,0,Medium
C100066,0.6984217327063995,1,High
C100067,0.6645574787206421,1,High
C100068,0.5856458783011399,1,Medium
C100069,0.3143473296934415,0,Low
C100070,0.4491739592158062,0,Medium
C100071,0.523690106082425,1,Medium
C100072,0.28102378544968803,0,Low
C100073,0.8101409250476443,1,High
C100074,0.7266697518534206,1,High
C100075,0.8411560002890281,1,High
C100076,0.28648428735249426,0,Low
C100077,0.5242800772895718,1,Medium
C100078,0.33884066143607433,0,Medium
C100079,0.5308136138609368,1,Medium
C100080,0.31691793313000016,0,Low
C100081,0.5474808804274961,1,Medium
C100082,0.40819574246098206,0,Medium
C100083,0.43931264290816546,0,Medium
C100084,0.45380354479712576,0,Medium
C100085,0.21867703047740178,0,Low
C100086,0.7723779822205856,1,High
C100087,0.5212270186541476,1,Medium
C100088,0.4677579409385248,0,Medium
C100089,0.4710008955588765,0,Medium
C100090,0.5603652765589238,1,Medium
C100091,0.6184447206535015,1,Medium
C100092,0.22747508794269902,0,Low
C100093,0.5251967572590047,1,Medium
C100094,0.1355689106474298,0,Low
C100095,0.4172891009635683,0,Medium
C100096,0.5616344013309083,1,Medium
C100097,0.3790203344919931,0,Medium
C100098,0.4903270868125956,0,Medium
C100099,0.279116883622268,0,Low
C100100,0.6793518555423048,1,High
C100101,0.7998760213162223,1,High
C100102,0.4448469782686067,0,Medium
C100103,0.3218598365088791,0,Low
C100104,0.45717918301161353,0,Medium
C100105,0.38136798111568154,0,Medium
C100106,0.4296599425471368,0,Medium
C100107,0.7547833019539258,1,High
C100108,0.43321098288807236,0,Medium
C100109,0.27755234023959846,0,Low
C100110,0.4752158419400496,0,Medium
C100111,0.7279687711498776,1,High
C100112,0.5790756796083492,1,Medium
C100113,0.4144623778860969,0,Medium
C100114,0.20310219705118593,0,Low
C100115,0.7928648163305748,1,High
C100116,0.45404822552913426,0,Medium
C100117,0.6895821489384377,1,High
C100118,0.42813460958341026,0,Medium
C100119,0.3608193748321053,0,Medium
C100120,0.5454616708843765,1,Medium
C100121,0.3664622285169522,0,Medium
C100122,0.30456449277000625,0,Low
C100123,0.5460593197845647,1,Medium
C100124,0.7334590574207861,1,High
C100125,0.26462275671157026,0,Low
C100126,0.3462593424945536,0,Medium
C100127,0.4166430251953912,0,Medium
C100128,0.6108857146621933,1,Medium
C100129,0.34851120813767694,0,Medium
C100130,0.16096485177868852,0,Low
C100131,0.5454309953288176,1,Medium
C100132,0.5036463808894059,1,Medium
C100133,0.6965400125716352,1,High
C100134,0.6424903280872152,1,Medium
C100135,0.6840998581241778,1,High
C100136,0.45387786835956223,0,Medium
C100137,0.5777425144593774,1,Medium
C100138,0.4365220979033727,0,Medium
C100139,0.6751683737531302,1,High
C100140,0.5398379614389027,1,Medium
C100141,0.6640160496742812,1,High
C100142,0.4597984524395713,0,Medium
C100143,0.7779337782910823,1,High
C100144,0.46725346681578367,0,Medium
C100145,0.5446017046760336,1,Medium
C100146,0.4466096519880869,0,Medium
C100147,0.7682823157226794,1,High
C100148,0.39227110552618577,0,Medium
C100149,0.5576438868409476,1,Medium
C100150,0.4597370598249218,0,Medium
C100151,0.8115436511025432,1,High
C100152,0.7356581613230297,1,High
C100153,0.6027987143128092,1,Medium
C100154,0.24795440739202285,0,Low
C100155,0.4303391219119932,0,Medium
C100156,0.4667776758672195,0,Medium
C100157,0.6751385149289797,1,High
C100158,0.6954460347448744,1,High
C100159,0.46257249545374474,0,Medium
C100160,0.3825584842716721,0,Medium
C100161,0.47757337041187015,0,Medium
C100162,0.21225366451949093,0,Low
C100163,0.6381914240754166,1,Medium
C100164,0.46754348903253795,0,Medium
C100165,0.7973164447056584,1,High
C100166,0.43840132858548303,0,Medium
C100167,0.2436910044633289,0,Low
C100168,0.6837377585972133,1,High
C100169,0.3271004700841251,0,Low
C100170,0.25712554552854433,0,Low
C100171,0.6052831151778213,1,Medium
C100172,0.3927470901172603,0,Medium
C100173,0.218553965475939,0,Low
C100174,0.42813667970375874,0,Medium
C100175,0.35700902991819994,0,Medium
C100176,0.8042429978425997,1,High
C100177,0.35506026369436117,0,Medium
C100178,0.41188913131065674,0,Medium
C100179,0.7331189933694293,1,High
C100180,0.6890261517907286,1,High
C100181,0.386110266481301,0,Medium
C100182,0.5413532722236533,1,Medium
C100183,0.29079161945660337,0,Low
C100184,0.41525757305394784,0,Medium
C100185,0.5094074240365324,1,Medium
C100186,0.5311448992043313,1,Medium
C100187,0.45773059908301905,0,Medium
C100188,0.3286044227234651,0,Low
C100189,0.38335335149322547,0,Medium
C100190,0.5804581126875243,1,Medium
C100191,0.30649551028633215,0,Low
C100192,0.3753130115764866,0,Medium
C100193,0.43832865505389,0,Medium
C100194,0.5100658427690982,1,Medium
C100195,0.39985515031404667,0,Medium
C100196,0.7960954589362703,1,High
C100197,0.46251338018324023,0,Medium
C100198,0.23794709423670196,0,Low
C100199,0.47483685523475516,0,Medium
C100200,0.48981183954352236,0,Medium
C100201,0.6226082359579953,1,Medium
C100202,0.42430155649218915,0,Medium
C100203,0.5343761443265725,1,Medium
C100204,0.29438752863823536,0,Low
C100205,0.6388869548240845,1,Medium
C100206,0.5854391292087586,1,Medium
C100207,0.6184408662812412,1,Medium
C100208,0.19894005358351707,0,Low
C100209,0.5353973254030665,1,Medium
C100210,0.6100013594573935,1,Medium
C100211,0.8145294068145996,1,High
C100212,0.6881199697526987,1,High
C100213,0.381273272068974,0,Medium
C100214,0.39410122489505284,0,Medium
C100215,0.6183696821498593,1,Medium
C100216,0.6180566251025706,1,Medium
C100217,0.17855021130812307,0,Low
C100218,0.1087636947610274,0,Low
C100219,0.32300414489975054,0,Low
C100220,0.25498970833840373,0,Low
C100221,0.2159554861757731,0,Low
C100222,0.15541639238668978,0,Low
C100223,0.5252802200383438,1,Medium
C100224,0.6513900524768937,1,Medium
C100225,0.19685171130511123,0,Low
C100226,0.668414835410195,1,High
C100227,0.6923521428935202,1,High
C100228,0.6951676980890912,1,High
C100229,0.5249360458363745,1,Medium
C100230,0.8102795866814093,1,High
C100231,0.7381520395803388,1,High
C100232,0.608859175823761,1,Medium
C100233,0.6937462937520333,1,High
C100234,0.2786162761350862,0,Low
C100235,0.505329068613319,1,Medium
C100236,0.3828723011152707,0,Medium
C100237,0.4099633732838546,0,Medium
C100238,0.5209319092611651,1,Medium
C100239,0.31270807458858857,0,Low
C100240,0.41367898518716006,0,Medium
C100241,0.5763692765827427,1,Medium
C100242,0.7991880867950151,1,High
C100243,0.4253805086055711,0,Medium
C100244,0.7299323713505367,1,High
C100245,0.3885859630375348,0,Medium
C100246,0.48793755690854074,0,Medium
C100247,0.7472097375570596,1,High
C100248,0.4560885088722847,0,Medium
C100249,0.4603350898597698,0,Medium
C100250,0.47773022334569365,0,Medium
C100251,0.474391308173133,0,Medium
C100252,0.6104242059330502,1,Medium
C100253,0.41021490013431733,0,Medium
C100254,0.6240743959611796,1,Medium
C100255,0.6968285096752482,1,High
C100256,0.38088259974025795,0,Medium
C100257,0.3130389259392081,0,Low
C100258,0.37169647942591993,0,Medium
C100259,0.5501785247169159,1,Medium
C100260,0.7909846704234426,1,High
C100261,0.2544606014587257,0,Low
C100262,0.8112093117551742,1,High
C100263,0.4029474979985982,0,Medium
C100264,0.18368991556179912,0,Low
C100265,0.4541895127072062,0,Medium
C100266,0.42246678747324157,0,Medium
C100267,0.39112422304363353,0,Medium
C100268,0.4478000200276064,0,Medium
C100269,0.14582496737382103,0,Low
C100270,0.6671204637377824,1,High
C100271,0.6902240880824666,1,High
C100272,0.5613168076102673,1,Medium
C100273,0.2059344117500848,0,Low
C100274,0.6031806196592938,1,Medium
C100275,0.4082927307869649,0,Medium
C100276,0.3154030862511821,0,Low
C100277,0.3304349649285905,0,Medium
C100278,0.2936697657794287,0,Low
C100279,0.2472661856222717,0,Low
C100280,0.45898074888533674,0,Medium
C100281,0.576949474351304,1,Medium
C100282,0.4639765379107614,0,Medium
C100283,0.5661219195806904,1,Medium
C100284,0.12564712348069873,0,Low
C100285,0.6061957276570222,1,Medium
C100286,0.4033709914766104,0,Medium
C100287,0.7684329822505542,1,High
C100288,0.4738876237509342,0,Medium
C100289,0.5720182000460713,1,Medium
C100290,0.35542307347806384,0,Medium
C100291,0.3849261544522534,0,Medium
C100292,0.2610914142554644,0,Low
C100293,0.27075975685997944,0,Low
C100294,0.4891178670140422,0,Medium
C100295,0.6675266899240243,1,High
C100296,0.6500887131023442,1,Medium
C100297,0.43369551272100065,0,Medium
C100298,0.4901196543289192,0,Medium
C100299,0.4484695101392225,0,Medium
C100300,0.5961346002370466,1,Medium
C100301,0.2511002769784528,0,Low
C100302,0.7354365429011093,1,High
C100303,0.5813983882679827,1,Medium
C100304,0.6674905295124767,1,High
C100305,0.5566433589673137,1,Medium
C100306,0.2720106080316112,0,Low
C100307,0.5332392872319449,1,Medium
C100308,0.45893033067634936,0,Medium
C100309,0.35841048569005607,0,Medium
C100310,0.5329115213774985,1,Medium
C100311,0.3978311092245194,0,Medium
C100312,0.40864762976392843,0,Medium
C100313,0.7007076678301207,1,High
C100314,0.589105847952086,1,Medium
C100315,0.4281280780090066,0,Medium
C100316,0.25577551512514773,0,Low
C100317,0.2525872369496968,0,Low
C100318,0.16568676106626615,0,Low
C100319,0.40681943347830757,0,Medium
C100320,0.6022708607914442,1,Medium
C100321,0.517563711819466,1,Medium
C100322,0.54546958392141,1,Medium
C100323,0.5443506923426038,1,Medium
C100324,0.4204648775413758,0,Medium
C100325,0.396711297244283,0,Medium
C100326,0.7047281536683324,1,High
C100327,0.30213450607966646,0,Low
C100328,0.7849504448601561,1,High
C100329,0.5403710156468422,1,Medium
C100330,0.2886321691931892,0,Low
C100331,0.400879642318508,0,Medium
C100332,0.5738032630497533,1,Medium
C100333,0.17762649332768068,0,Low
C100334,0.5780364802636422,1,Medium
C100335,0.8313247349639847,1,High
C100336,0.43411977880091934,0,Medium
C100337,0.7863073038887022,1,High
C100338,0.6448861949454924,1,Medium
C100339,0.40212803956347104,0,Medium
C100340,0.5571021075402155,1,Medium
C100341,0.3923018523147851,0,Medium
C100342,0.6931177781827267,1,High
C100343,0.32451265726040185,0,Low
C100344,0.7873790169858947,1,High
C100345,0.27577616883994255,0,Low
C100346,0.597322944198555,1,Medium
C100347,0.24546349249889846,0,Low
C100348,0.6487144640721997,1,Medium
C100349,0.16948161666185724,0,Low
C100350,0.6460872654988358,1,Medium
C100351,0.7912269712173252,1,High
C100352,0.5013056650954834,1,Medium
C100353,0.29134760610468874,0,Low
C100354,0.35932301837028113,0,Medium
C100355,0.3181794234354455,0,Low
C100356,0.3647380743825052,0,Medium
C100357,0.6595689777198972,1,Medium
C100358,0.36789098849998203,0,Medium
C100359,0.44506686156173153,0,Medium
C100360,0.6252454990393418,1,Medium
C100361,0.4465125127203651,0,Medium
C100362,0.491369163421718,0,Medium
C100363,0.23532952575463997,0,Low
C100364,0.5885532315058766,1,Medium
C100365,0.6269909540025395,1,Medium
C100366,0.6104179642365941,1,Medium
C100367,0.1763021336943406,0,Low
C100368,0.6405900483006491,1,Medium
C100369,0.2801331450419874,0,Low
C100370,0.6591207486140964,1,Medium
C100371,0.41610120232032,0,Medium
C100372,0.4374071783658149,0,Medium
C100373,0.27895765188618066,0,Low
C100374,0.30765320296913723,0,Low
C100375,0.46501810802782834,0,Medium
C100376,0.5993177193994494,1,Medium
C100377,0.22283803509231473,0,Low
C100378,0.6362117306510121,1,Medium
C100379,0.8559890075279185,1,High
C100380,0.8143041637575037,1,High
C100381,0.7719491627036534,1,High
C100382,0.37138952371599154,0,Medium
C100383,0.16617915206348527,0,Low
C100384,0.8245307129911812,1,High
C100385,0.6381179727713975,1,Medium
C100386,0.49918908219554414,0,Medium
C100387,0.23758535850588838,0,Low
C100388,0.6094408895119307,1,Medium
C100389,0.3722521370493938,0,Medium
C100390,0.5618988467146789,1,Medium
C100391,0.1123781633786657,0,Low
C100392,0.45052417711100584,0,Medium
C100393,0.41897694389833523,0,Medium
C100394,0.4725017060966215,0,Medium
C100395,0.578123182264276,1,Medium
C100396,0.3415705680969236,0,Medium
C100397,0.6916081099495519,1,High
C100398,0.81704437945259,1,High
C100399,0.5473107347298918,1,Medium
C100400,0.3690157303284444,0,Medium
C100401,0.6084450400784377,1,Medium
C100402,0.44714271418155976,0,Medium
C100403,0.6864762755893964,1,High
C100404,0.314892677740637,0,Low
C100405,0.38274676638417754,0,Medium
C100406,0.5020219509335567,1,Medium
C100407,0.47285327158945256,0,Medium
C100408,0.7435056777430685,1,High
C100409,0.7010508384119868,1,High
C100410,0.5361533940667075,1,Medium
C100411,0.4284926797405071,0,Medium
C100412,0.4093465611619265,0,Medium
C100413,0.5725204088680459,1,Medium
C100414,0.3688518677546228,0,Medium
C100415,0.26063779477230564,0,Low
C100416,0.5205390176138941,1,Medium
C100417,0.4476883834268312,0,Medium
C100418,0.5455570908882321,1,Medium
C100419,0.4968283314523239,0,Medium
C100420,0.4837027345311232,0,Medium
C100421,0.20118339106960142,0,Low
C100422,0.3427881945079764,0,Medium
C100423,0.37668038722122676,0,Medium
C100424,0.6107398121458909,1,Medium
C100425,0.6723998330865852,1,High
C100426,0.4365510244308109,0,Medium
C100427,0.28796070586206407,0,Low
C100428,0.1725706532570742,0,Low
C100429,0.8414008678652625,1,High
C100430,0.13119691327891184,0,Low
C100431,0.3999421543522651,0,Medium
C100432,0.317322523797768,0,Low
C100433,0.8007492859881071,1,High
C100434,0.5368163358028897,1,Medium
C100435,0.3487204314593288,0,Medium
C100436,0.6800856713717974,1,High
C100437,0.8056910646780779,1,High
C100438,0.44652961350169795,0,Medium
C100439,0.48950333379773975,0,Medium
C100440,0.2546550234413687,0,Low
C100441,0.509607352037955,1,Medium
